reviewContent,ground_truth_aspects
আমি অনেক ভালো পণ্য পেয়েছি।,product
"ভাল দুধ, মেয়াদও অনেকদিন আছে","product, shelf"
দুইবার ডেলিভারি চার্জ নিলো।,delivery
অরিজিনাল প্রোডাক্ট মনে হচ্ছে। ভালোভাবে প্যাকেজ করা এবং অক্ষত অবস্থায় ডেলিভারি হয়েছে। এছাড়াও দীর্ঘমেয়াদী বৈধতা রয়েছে। দাম ৩৭৫ টাকা। ডিমার্ট কোনো ডিসকাউন্ট দেয়নি। তবে বিকাশ প্রমোশনে ২০০ টাকা ক্যাশব্যাক পেয়েছি।,"product, delivery, packaging, price, shelf"
ভালো ভাবে পেয়েছি মেয়াদ ও আছে। দারাজ ও মার্টকে ধন্যবাদ।,"shelf, seller"
"ঠিক মতো পেয়েছি, দারাজ ও সেলারকে ধন্যবাদ। ",seller
"প্রোডাক্ট ভালো। তবে দোকানে একই দামে, ৪৯৪ টাকায় কিনেছি, ডেলিভারি চার্জ ফ্রি ছিল তাই নিয়ে নিয়েছি। কিন্তু ভিতরে কোনো চামচ (স্পুন) নেই যদিও প্যাকের উপর লেখা আছে। বেবি প্যাকেটটি ফেলে দিয়েছি তাই ছবি দিতে পারছিনা। মাপার চামচ না দেওয়ার জন্য কর্তৃপক্ষকে জানাবো।","product, price, seller"
"ভালো প্রোডাক্ট কিন্তু তুলনামূলকভাবে দাম বেশি, দ্রুত ডেলিভারি হয়েছে, ডেলিভারি ম্যানও ভালো এবং ভদ্র।","product, delivery, rider, price"
"Nido 1+ নিয়ে নতুনভাবে বলার কিছু নেই।‌ বাচ্চাদের জন্য খুবই গুরুত্বপূর্ণ খাবার। দারাজ থেকে নেওয়াতে বাজার থেকে কম মূল্যে পেয়েছি। যথাসময়ে পন্য হাতে পেয়েছি।
ওভার অল ওকে। ","delivery, price, product"
"MRP থেকে বেশী মূল্য রাখা হয়েছে (প্রোডাক্টের গায়ে MRP: 400/- কিন্তু আমার কাে রাখা হয়েছে 450/-)। খুবই দুঃখজনক, দারাজের কাছে এটা আশা করিনি। ভেরিফাইড সেলারের যদি এই অবস্থা হয়, তাহলে বাকীদের যে কি হবে সেটা খুব সহজেই অনুমেয়।
ভোক্তা অধিকারে অভিযোগ দায়ের করার জন্য ব্যবস্থা নিচ্ছি।","seller, price"
"অনেক ধন্যবাদ দারাজ কে, খুব ভালো সাথে গিফটও, তাছাড়া আমার কয়েন থাকাতে কিছুটা কমেও পেয়েছি, মেয়াদ  ২০২৩ সাল পর্যন্ত সব মিলে ভালো, বাজারে না গিয়ে বাসায় বসেই পেলাম।","price, shelf, service"
ভালো পোডাক্ট মেয়াদ ও আছে আরো ১ বছর। ডেলিভারি তাড়াতাড়ি পেয়েছি। বাজার থেকে অনেক কম দামে পেয়েছি। ধন্যবাদ দারাজ এবং সেলারকে।,"product, price, shelf, delivery, seller"
wow..প্যাকিং টা অনেক ভাল ছিল। ডেলিভারিটা ও খুব দ্রুত পেয়েছি।ধন্যবাদ seller কে। এভাবে আমাদের ভালো service দেওয়ার জন্য। এগিয়ে যান অনেক দূর অনেক অনেক শুভকামনা রইল 💕💕💕,"service, delivery, packaging, seller"
"১১ তারিখে অর্ডার দিয়ে ১২ তারিখে পেয়েছি। সুপার ফাস্ট ডেলিভারি। প্যাকেজিং, মেয়াদ শেষের তারিখ সব ঠিক আছে।","delivery, packaging, shelf"
"       লোকাল মার্কেটের চেয়েও
 ২ প্যাকেটের ৬০ টাকা কম পেয়েছি
            ধন্যবাদ সেলার কে","seller, price"
"ভালোভাবে প্যাকেজ করা এবং ভালোভাবে সরবরাহ করা হয়েছে। ধন্যবাদ, নেসলে বাংলাদেশ। ধন্যবাদ, দারাজ বাংলাদেশ।","service, packaging, seller"
"খুবই খারাপ। প্যাকেটে এমআরপি লেখা ৪৫০ টাকা, অথচ আপনি ৪৯৫ টাকা নিয়েছেন। এটি সম্পূর্ণ প্রতারণা।",price
"আমি আমার প্রোডাক্টটি যুক্তিসঙ্গত মূল্যে পেয়েছি। ধন্যবাদ বিক্রেতা, দারাজ এবং ডেলিভারি পার্টনার।","seller, rider, price"
প্যাকেজগুলো ভালো অবস্থায় আছে। দ্রুত ডেলিভারি হয়েছে যেহেতু আমি ডেলিভারির আগে পেমেন্ট করেছি।,"delivery, packaging"
"দাম দোকান থেকে নিলে আরো ১০ টাকা কম পাইতাম, বাট অন্য সব মালের জন্য নিতে হইছে। ",price
স্বল্প সময়ের মধ্যে ডেলিভারি হয়েছে। সুন্দর প্যাকেজিং। মান আগের মতোই ভালো।,"product, delivery, packaging"
ধন্যবাদ দারাজ এবং ধন্যবাদ নেসলে অসাধারণ প্রোডাক্ট এবং ডেলিভারি সিস্টেমের জন্য।,"product, delivery, seller"
"Nido, Eldomilk সহ মোট ৪টি প্রোডাক্টই খুব ভালো ছিল  আমার বাচ্চার জন্য। ",product
পোডাক্ট এবং ডেলিভারি সব কিছুতে ১০০/১০০। ধন্যবাদ দারাজ এবং সেলারকে।,"product, delivery, seller"
প্রোডাক্টটি খুব ভালো কিন্তু ১০ দিনের ডেলিভারি সময় খুবই বিরক্তিকর।,"product, delivery"
খুব ভালো প্রোডাক্ট। দ্রুত ডেলিভারি। বিক্রেতার সাড়া চমৎকার।,"product, delivery, seller"
"প্রোডাক্ট ভালো , ধন্যবাদ দারাজ।",product
"ধন্যবাদ ডি মার্ট, এত সুন্দর প্যাকিং করে দুধ পাঠানোর জন্য।",packaging
আমি ভালো প্রোডাক্ট এবং দ্রুত সেবা পেয়েছি। ধন্যবাদ নেসলে এবং দারাজ।,"product, service, seller"
অরিজিনাল প্রোডাক্ট কিন্তু খুচরা মূল্যে। পাইকারি দামে রাখা উচিত।,"product, price"
সময়মতো প্রোডাক্ট পেয়েছি। প্যাকেজিং ভালো ছিল। আমি সন্তুষ্ট।,"delivery, packaging"
প্রোডাক্ট ভালো ছিল এবং প্যাকেজিংও ভালো ছিল। সুপারিশ করছি...,"product, packaging"
এমআরপি-র চেয়ে কম এবং বাড়িতে ডেলিভারি করা হয়েছে। এটা শুধুমাত্র ডিমার্ট।👌👌👌,"delivery, price"
সব আইটেমের মধ্যে ১টি প্রোডাক্ট পুরানো ছিল এবং প্যাকেট ছেঁড়া ছিল।,"product, packaging"
ধন্যবাদ দারাজ বাংলাদেশ।  ডেলিভারি ম্যান ও খুব ভালো।,rider
"নিয়মিত ক্রয়, সময়মতো ডেলিভারি করার জন্য ধন্যবাদ রাইডার।","delivery, rider"
সবকিছু ঠিকঠাক। খারাপ দিক হলো সর্বোচ্চ পরিমাণ ২টি।,"service, product"
দ্বিতীয়বার ক্রয় করেছি। সার্ভিসে সন্তুষ্ট।,service
অরিজিনাল প্রোডাক্ট এবং দ্রুত ডেলিভারি। ধন্যবাদ।,"product, delivery"
বাজারের তুলনায় কমে পেয়েছি। অরিজিনাল প্রোডাক্ট।,"product, price"
আমি বরাবরই দারাজের প্রোডাক্ট নিয়ে সন্তুষ্ট।,product
খুব দ্রুত ডেলিভারি। ক্রয়ে খুশি।,delivery
"৩টি প্যাকেট অর্ডার করেছি। এর মধ্যে দুটি ঠিক ছিল। আজ তৃতীয় প্যাকেটটি খুললাম এবং এটি ভিতরে কাঁচি দিয়ে কাটা ছিল। এর ভিতরে থাকা পাউডার দুধ নিডো নয়, এটি অন্য কোনো নিম্নমানের পাউডার দুধ। দারাজ মলের উপর আমার বিশ্বাস হারিয়েছি এই ধরনের অনৈতিক আচরণের জন্য। দয়া করে আল্লাহকে ভয় করুন।","product, packaging"
মাত্র ৩২৩ টাকায় পেয়েছি। হোম ডেলিভারি 😀,"delivery, price"
ভাল তবে ডেলিভারি চার্জ সহ দাম একটু বেশি,price
"ভালো প্যাকেজিং, মেয়াদ আছে ৮/২২ পর্যন্ত।","packaging, shelf"
অরিজিনাল প্রোডাক্ট এবং দ্রুত ডেলিভারি।,"product, delivery"
ডেলিভারি বয়ের ব্যবহারটা ভালো লেগেছে।,rider
ভালো অবস্থায় পেয়েছি। ধন্যবাদ।,packaging
"ভালো প্রোডাক্ট, ধন্যবাদ দারাজ এবং বিক্রেতা।","product, seller"
"ভাল দুধ, দাম ৩৫০ টাকা হলে ভাল হত। ",price
কম দামে অরিজিনাল প্রোডাক্ট পেয়েছি।,"product, price"
"ভালো প্রডাক্ট পেয়েছি
আমি সন্তুষ্ট ",product
অরিজিনাল  প্রডাক্ট আলহামদুলিল্লাহ,product
অরিজিনাল প্রোডাক্ট। বিক্রেতাকে ধন্যবাদ।,"product, seller"
"প্রতিটি দিকেই সন্তুষ্ট, ধন্যবাদ।",
রাইডার টি অনেক আন্তরিক। ধন্যবাদ।,rider
অরিজিনাল প্রোডাক্ট... অনেক অনেক ধন্যবাদ।,product
অরিজিনাল প্রোডাক্ট.. আমি সন্তুষ্ট।,product
দ্রুত ডেলিভারি। ধন্যবাদ দারাজ।,delivery
বাজারের চেয়ে কমে কিনেছি।,price
সবার জন্য অত্যন্ত সুপারিশ করছি।,
ভালো অবস্থায় পেয়েছি।,packaging
"আলহামদুলিল্লাহ, সত্যিই ভালো।",product
অরিজিনাল নেসলে নিডো ১+ পেয়েছি।,product
অরিজিনাল প্রোডাক্ট মনে হচ্ছে।,product
ঠিক ঠাক আছে মোট কথা ভাল,product
ভালো প্রোডাক্ট। ধন্যবাদ।,product
বাজারের চেয়ে ভালো দামে,price
অসাধারণ.. সুপারিশ করছি।,product
বেশ ভাল ফর্মুলা দুধ।,product
নেসলে সবসময়ই ভালো।,
সম্পূর্ণভাবে ডেলিভারি হয়েছে।,delivery
সুন্দর প্যাকেজিং।,packaging
ঠিকঠাকভাবে পেয়েছি।,product
সম্পূর্ণভাবে ডেলিভারি হয়েছে।,delivery
সুন্দর একটা প্রডাক্ট,product
দাম ৩৫০ টাকা হোক।,price
সুন্দর  প্রডাক্ট 👍👍,product
প্রোডাক্টের জন্য ধন্যবাদ।,product
বাজারের মতোই।,
আগেও কেনা হয়েছে,
সুন্দর প্যাকেজিং।,packaging
"দারাজ এর পলির মধ্যে ডেলিভারি দেওয়ার কারণে আমার প্রোডাক্ট এর প্যাকেজিং ডেমেজ হয়েছে, এই ধরনের শিশু খাদ্য অবশ্যই কার্টুনের মধ্যে ডেলিভার দেওয়া উচিত ","delivery, packaging"
দুধ ভালই।,product
"ভাল দুধ, আশা করি দাম অচিরেই ৩৫০ টাকা হবে। ",price
"ভালো দুধ, কিন্তু দাম ৩৫০ টাকা হওয়া উচিত।","product, price"
9n,
"ভালো প্রোডাক্ট, কিন্তু দাম কম হওয়া উচিত।","product, price"
"ভালো প্রোডাক্ট, কিন্তু দাম খুবই বেশি।","product, price"
ভাল কিন্তু দাম বেশি,price
অরিজিনাল প্রোডাক্ট।,product
এটি ভালো।,product
দ্রুত পেয়েছি।,delivery
দারুণ।,
"জানিনা সেলার কি এরকম ড্যামেজ কন্টেইনার ই দিয়েছিল নাকি ডেলিভেরী গাড়িতে এরকম ড্যামেজ হয়েছে। একই সংগে আরো ২টি অন্য প্রডাক্ট ছিল সেগুলা কোন কিছু হয়নি।  এছাড়া এই কফির ফ্লেভার টা একদম ই বাজে, গ্লাসের জারে যে কফির ফ্লেভার থাকে সেই ফ্লেভার টা অনেক ভাল। যা বুঝলাম ফ্রি মানেই ধোকাবাজী।   দারাজের প্রতি যে বিশ্বাস ছিল আজ থেকে শেষ।  কেউ কিনবেন না","product, delivery, seller"
"first look ৩৯৯ টাকা কিন্তু সিলেক্ট করলেই ৪৩১ টাকা। 
ডেলিভারিসহ +৫৫টাকা। 
অন্যদিকে তাদের নির্দিষ্ট কাউন্টার হতে নিলে +১৫ টাকা। 
যাহোক ৪৫০টাকার পণ্য ৪৩১+৬ভ্যাটসহ ৪৪০টাকায় পেলাম। 
পণ্যে ঝামেলা ছিলো না। বাসার কাছে দোকান থাকলে অনলাইনের এই ফালতু ঝামেলায় না জড়ানোই ভালো। 
কারণ কখন তাদের পণ্য আসবে?কীভাবে রিসিভ করা যায়, কোথায় কোথায় তাদের রাইডার  পণ্য পৌঁছে দেবে এই নিয়ে এক বিস্তর কাহিনি করা লাগে।
আমি বিরক্ত। ","product, delivery, rider, price"
"পর্যাপ্ত মেয়াদ{এক বছরের মেয়াদ ) সহ খুব ভালো অবস্থায় কফি হাতে পেয়ছি।ফ্রি জারটা অনেক পছন্দ হয়েছে আমার।সেলারের ব্যবহার খুবই ভালো।খুব শীঘ্রই আবার অর্ডার করব ইনশাআল্লাহ্।
আপনারাও কিনতে পারেন।","packaging, seller, shelf"
"প্যাকেজিং এর মান এবং কৌশল খুবই খারাপ ছিলো।টিনের কৌটাটা ড্যামেজ হয়ে গেছে একদম,ঠিক যেটার আশংকা করেছিলাম। এছাড়াও পাউচের গায়ে লেখা দাম ৩৫০৳ এর উপর ৩৮০৳ এর একটা স্টিকার মারা ছিলো যেটা খুবই হতাশাজনক। অবশ্যই অনুমোদিত এবং সঠিক দামে পণ্য বিক্রয় করা উচিত।সব মিলিয়ে ১২.১২ এর সবগুলো অভিজ্ঞতাই খারাপ বেশ খারাপ হলো দারাজের সাথে 😢","service, packaging, price"
প্রোডাক্টটি খুব ভালো যে কেউ চাইলে নিতে পারেন নাইস কনটেইনার এবং মাত্র ৩ দিনে হাতে পেলাম সবকিছুই অসাধারণ।,"product, delivery"
"অনেক ভাল ছিলো।মেয়াদ ও যথেষ্ট ছিলো।১১.১১ এ অর্ডার করা।ডিসকাউন্ট এবং ক্যাশব্যাক এর মাধ্যমে অনেক কম মূল্যে পেয়েছি।
ধন্যবাদ।","price, shelf"
"ওকে,সব কিছু ঠিকঠাক পেয়েছি 🌹🌼
সাথে বক্স ফ্রি পেয়েছি ☕
দাম ও কমে পেয়েছি। ধন্যবাদ দারাজকে🤝","service, price"
"আলহামদুলিল্লাহ..
প্রোডাক্ট ঠিকঠাক মতো বুঝে পেয়েছি।
মেয়াদও যথেষ্ট আছে।
ধন্যবাদ দারাজ।","product, shelf"
সবকিছু ঠিকঠাকই ছিল। তবে আরেকটু বেটার প্যাকেজিং আশা করেছিলাম। টিনের কৌটাটায় টোল পরে গেছে।,packaging
Nescafe বরাবরের মতোই ভালো কফি ডেলিভারি দিয়েছে। প্যাকেজিং অনেক ভালো ছিলো। কফি প্যাক এবং টিন কনটেইনা কোনোটারই কোনো ক্ষতি হয়নি। একেবারে অক্ষত অবস্থায় হাতে পেয়েছি। কফির মেয়াদ ভালো আছে প্রায় ১ বসর মত মেয়াদ। সবকিছু মিলে সন্থুষ্ট। ধন্যবাদ দারাজমল এবং Nescafe এভাবে সার্ভিস দিয়ে যাওয়ার জন্য।,"product, service, delivery, packaging, shelf"
"মাশাআল্লাহ, খুব ভালো প্রোডাক্ট পেয়েছি। ডেলিভারিও খুব দ্রুত পেলাম। কৌটার ২ দিক একটু ঠোকা খেয়েছে, তবুও আমি খুশি। এটি হয়তো ডেলিভারি ম্যানের দোষ। বিক্রেতা ভাইকে অনেক ধন্যবাদ এত সুন্দর প্রোডাক্ট দেওয়ার জন্য + একটি অতিরিক্ত উপহার 😍😍✌। অনেক ধন্যবাদ। দাম না বাড়ালে আমি আবার নেব...💕 আপনারাও কিনুন, ঠকবেন না।","product, delivery, packaging, seller, rider, price"
"সময় নিয়েছি, খেয়ে যাচাই করার জন্য।
মধু দার্য্য পদার্থ,যারা কনফিউজড থাকেন তাঁরা ছবি দেখতে পারেন।
আর কেয়ারিং এর বলার কোন অবকাশ নেই।
দারাজ যথেষ্ট কাষ্টমার কেয়ারিং।
ছোটখাটো ভুল হতেই পারে, এটা সামান্য।
এটা মেনে নিয়েই, অনলাইন সপিং করতে পারেন।
ধন্যবাদ , সম্পৃক্ত সবাইকে।",service
"ভালো মানের অরিজিনাল কফি, টিনের কৌটাটা দেখতে খুব সুন্দর। এ পর্যন্ত আমি অনেকবার কিনেছি। Nescafe আর Daraz Mall এর পণ্যে কোয়ালিটি নিয়ে কোনো চিন্তা করতে হয় না। ৪০% এবং ডেলিভারি ভাউচার ব্যবহার করে মাত্র ২৩৫ টাকা করে পেয়েছিলাম","product, price"
"দারাজ থেকে অফারে 380 টাকা প্রডাক্ট 300 টাকা মত পেলাম ক্যাশব্যাক মিলিয়ে।।
মেয়াদ পর্যাপ্ত পরিমন আছে।।","product, price, shelf"
"প্যাকেজিংটা অনেক ভালো ছিল। কফিটাও ভালো। কনটেইনারে একটু একটু দাগ ছিল, কোনো ব্যাপার না। সামগ্রিকভাবে ভালোই লেগেছে।","product, packaging"
"নেসলের কফি তো সবসময়ই ভালো... কিন্তু এখানে এত কম দামে পেয়েছি... আর কনটেইনারটা এত কিউট ❤️❤️😍
খুব ভালো লেগেছে এবং আবারও অনেক ধন্যবাদ... ভালো প্রোডাক্টের জন্য।","product, price"
"প্যাকেজিং আরও ভালো হতে পারতো। টিন কন্টেইনারে কিছু ডেন্ট ছিল। তবে, কফির মান অত্যন্ত ভালো।

কফি যেমন বর্ণনা করা হয়েছে, তেমনই ভালো।","product, packaging"
"প্রতি পিস মাত্র ২৮ টাকা করে পেলাম ৩৫০ টাকা দামের কফি।এত বড় কফি মাত্র ২৮ টাকা দিয়ে তা শুধুমাত্র দারাজেই সম্ভব।এনেভার্সেরি ক্যাম্পেইনে হঠাৎ ২৮ টাকা দাম দেখে সাথে সাথে অর্ডার করে দেই।আর কফি একদম ঠিকঠাক ছিলো।যদিও অর্ডারের পর পর একটু শঙ্কায় ছিলাম যে মেয়াদ যথেষ্ট থাকবে কিনা।কিন্তু,মেয়াদ ও ছিলো যথেষ্ট।প্রায় ১ বছরের ও অধিক সময়।পরিশেষে বলব বেস্ট একটা ডিল ছিলো।একদম ফাটাফাটি।
ধন্যবাদ দারাজ।","product, price, shelf"
"এই একই পণ্যটি ৬-৭ বার বিভিন্ন উৎস থেকে কিনেছি। গড় মানের ভারতীয় উৎপাদিত তাজা কফি, যুক্তিসংগত মূল্যে। এই ইউনিটটি আমাকে মাত্র ২৪০ টাকা খরচ হয়েছে। এখন পর্যন্ত এটি আমার সবচেয়ে সস্তা নেসক্যাফে পাউচের ক্রয়। সন্তোষজনক...","product, price"
ধন্যবাদ পণ্যগুলো ঠিকঠাক দেওয়ার জন্য। এবং উপহার (ফ্রি) দেওয়ার জন্য অনেক অনেক ধন্যবাদ।,"product, service"
"ইন্ডিয়ান প্রডাক্ট।সব কিছু মিলিয়ে  ঠিকই আছে ,সাথে 20.12.2022 তারিখ পর্যন্ত মেয়াদ ছিলো।
 কিন্তু কনটেইনারটিতে বেশ কিছু  স্ক্র্যাচ এবং টোপ খাওয়া ছিলো, যা আমার কাছে খুবই খারাপ লেগেছে। 
সেলারের একটু দায়িত্বশীল হওয়া উচিৎ ছিলো এ ব্যাপারে","product, packaging, shelf"
সাথে মেকআপ রিমুভার ফ্রি দিয়েছে। গুণমান সম্পন্ন পণ্য... ধন্যবাদ দারাজ।,"product, service"
"দারাজ মার্ট থেকে যতবারই কেনাকাটা করেছি, প্যাকেট পুরোপুরি ভালভাবে অক্ষত ছিল এবং উপহার হিসেবে রিন লিকুইড পেয়েছি, আর অন্যান্য উপহারও পেয়েছি। কিন্তু এবার প্যাকেট ছিঁড়া ছিল, বোঝা যাচ্ছে ইচ্ছে করে ছিঁড়ে উপহার চুরি করা হয়েছে। এর আগে অনেকের রিভিউতেও একই সমস্যা দেখেছিলাম, এবার নিজেও সেই প্রমাণ পেলাম। দারাজ মার্ট, এই বিষয়টা দেখবেন কে বা কারা এইসব করছে।","service, packaging"
"সেলারকে অসংখ্য ধন্যবাদ, যেমনটা চেয়েছিলেন ঠিক তেমনটা দিয়েছে। আপডেট প্রডাক্ট এবং প্যাকেজিং অনেক সুন্দর ছিল।","product, packaging, seller"
আলহামদুলিল্লাহ অনেক ভালো প্রোডাক্ট। কনটেইনারের কোন সমস্যা হয় নাই। রিভিউ তো অনেকে বলছিল যে কন্টেইনার বেঁকে গেছে ইত্যাদি ইত্যাদি কিন্তু আমি ভালোই পেয়েছি। অরিজিনাল নেস কফির প্রোডাক্ট।,product
"সেলার ভাই খুবই ভালো,,,কোনো ডিফেক্ট ছিলো নাহ। খুব যত্ন করে পাঠিয়েছেন। ধন্যবাদ এন্ড হাইলি রিকমন্ডেড 💓💓","packaging, seller"
"একেবারে পারফেক্ট পণ্য, ১০০% সুপারিশ করা যায় 👌 সবগুলো পণ্যের সাথে রিন ফ্রি দিয়েছে 💗 ধন্যবাদ দারাজ ও বিক্রেতা ❤️🥰","product, seller"
নেসক্যাফে আমার প্রথম কফির অভিজ্ঞতার সাথে যুক্ত এবং এখনও যুক্তিসংগত মূল্যে আমার প্রিয়গুলোর মধ্যে একটি। তাদের গোল্ড ভ্যারিয়েন্টের চেয়ে আমি এই বাজেট ভ্যারিয়েন্টটি বেশি পছন্দ করি...,product
"প্রোডাক্ট ভালো, তবে দারাজের ডেলিভারি একেবারে বাজে ছিল, প্রোডাক্ট শিপ হয়েছিল ৯ তারিখে, কিন্তু তারা ডেলিভারি দিয়েছে ৬ তারিখে এবং ডেলিভারি সমস্যার কারণে টিনের কন্টেইনার টা ক্ষতিগ্রস্ত হয়েছে প্রচুর","product, delivery, packaging"
টাকা দিয়ে কিনলাম  বিনামূল্যেতো দেয়া হয় নাই কিন্তু এই মূল্যায়ন করা হলো। তবে ভালো জিনিস পেয়েছি ধন্যবাদ সেলারকে।,"product, seller"
"শেষমেশ কন্টেইনারসহ দেওয়া হয়েছে, প্রথমে বলছিল যে কন্টেইনার নেই পরে ভালো করে বলার পরে বুঝতে পারলাম যে এর সাথে কন্টেইনার আছে। ১১.১১ তেও দাম পড়েছে ৩৩১ টাকা করে।

১ দিনের মধ্যে রাজশাহীতে ডেলিভারি করা হয়েছে।","delivery, price"
"200 গ্রাম কফি 210 গ্রাম যারে ঢালার পর দেখলাম, জারের চারভাগের একভাগ খালি। নেস্ক্যাফে যে পাউচ প্যাকেট এ কিভাবে প্রতারণা করছে সেটা সবার জানা উচিত।",product
দারাজ বা সেলার করো সম্পর্কে কোন অভিযোগ নাই।তারা তাদের পণ্য ঠিকভাবেই দিয়েছে।কিন্তু নেসলে এত বাজে স্বাদের কফি বাংলাদেশে কি ভাবে ভারত থেকে আনল। নেসলের একজন নিয়মিত গ্রাহক হিসেবে আমি তাদের উপর আস্থা রেখেই এত কফি অর্ডার করেছিলাম।কেউ নিবেন না খুবই বাজে স্বাদ।,product
অসাধারন পন্য  আমি সাথে একটা ক্রিমও উপহার পেলাম  এটা আমার জানা ছিলনা ধন্যবাদ সেলারকে  উপহারের জন্য   যাদের নেয়ার দরকার  তারা  কোন ধরনের  সংকোচ না করে নিতে পারেন,"product, seller"
কফি ভাল ছিল.......... কিন্তু কনটেইনারটি একদম বাঁকা হয়ে গেছে.........আরো সাবধানে ডেলিভারির কাজটি করা উচিত,"product, delivery, packaging"
"মেয়াদ, দাম সব ঠিকঠাক আছে। যদিও প্যাকেজিং ততোটাও ভাল ছিল না, তবুও ঠিকঠাক আছে। সর্বোচ্চ মূল্য ৩৫০৳ থাকলেও ৩৩৯ টাকা প্রাইজ হিসেবে ঠিকই আছে। ","packaging, price, shelf"
এই নেসক্যাফে একটি বিখ্যাত ব্র্যান্ড এবং আমরা অনেকদিন ধরে এই ব্র্যান্ডটি ব্যবহার করছি। প্রথমবার দারাজের মাধ্যমে কিনেছি। প্যাকেজিংও ভালো ছিল এবং ডেলিভারিও দ্রুত। তাই কেনার জন্য সুপারিশ করছি।,"delivery, packaging"
"""অরিজিনাল পণ্য, যথেষ্ট মেয়াদ শেষের তারিখ, সময়মতো পৌঁছেছে এবং বিক্রেতার বিশ্বস্ততায় সন্তুষ্ট, এবং দারাজ থেকে প্রথম উপহার পেয়ে খুব খুশি 💗💗💗💗 ধন্যবাদ বিক্রেতা এবং দারাজকে।""","product, delivery, seller, shelf"
"""আসলেই খুব সন্তুষ্ট। ডেলিভারি খুব তাড়াতাড়ি হয়েছে। কন্টেইনারটি ছবির মতো নয়, তবে এটিও খুব সুন্দর।""","product, delivery"
"এইসব খুব খারাপ লাগে যখন দেখি অদ্ভুত চুরি করে ধরা খেলেন
আশা করছি আপনাদের খারাপ কাজ টা বন্ধ করবেন ",service
সবকিছু ঠিকঠাক সময়মতো(একদিনে) ডেলিভারি মেয়াদ আছে ২৪ সাল পর্যন্ত। একসাথে কন্টেইনার তো আছেই।,"delivery, shelf"
"""কফি ঠিক আছে, কিন্তু জারে একটু ত্রুটি আছে, ঢাকনাটি ঠিকমতো বন্ধ বা খোলা যায় না।""","product, packaging"
"এক দিনের মধ্যে ডেলিভারি পেয়েছি, মেয়াদ ও আছে ২০২২ সাল পর্যন্ত।
ইউজ করে দেখি কেমন লাগে।
","delivery, shelf"
"""প্যাকেজিং ভালো ছিল এবং পণ্যের মেয়াদ শেষ হওয়ার তারিখও দীর্ঘ। সন্তুষ্ট 😃""","packaging, shelf"
খুব ভালো। ইনটেক এবং যথেষ্ট মেয়াদ রয়েছে।,"product, shelf"
"""খুব ভালো পণ্য, ফ্রি কন্টেইনার সহ। দ্রুত ডেলিভারির জন্য ধন্যবাদ। 🙂""","product, delivery"
"""যুক্তিসংগত মূল্যে চমৎকার পণ্য...!!! ধন্যবাদ বিক্রেতা...!!!""","product, seller, price"
"🧕 ময়মুনা এর রিভিউ 💬.

🌹 নেসলে একটি ভালো ব্র্যান্ড 🥰

ডেলিভারি একটু আগে হওয়া উচিত ছিল।😟 লজিস্টিক সার্ভিস এত বাজে হতে পারে তা জানা ছিলো না। কফিটা খুব সুন্দর। মেয়াদ ঠিকঠাক আছে। গায়ের দাম ৪৫০৳, কিনলাম ৪৩০৳। কোকো ক্রাঞ্চের মেয়াদ ৩/৪/২০২৪।👍 নেসক্যাফে কফিটাই ভালো, অন্য ব্র্যান্ডের কফি কিনে শান্তি হয় না। তাই বেশি দাম দিয়ে ভালটাই কেনা ভালো।
🌲 ধন্যবাদ দারাজ ও নেসলে 🌹.","product, service, delivery, price, shelf"
"কফি ভালোছিলো,মেয়াদে কোন গাফলতি ছিলোনা,কিন্তু এটার তো দাম কম ৩৫০/=টাকা,দাম বারলে তো দামেই কিনা দরকার ছিলো যখন দাম কম ছিলো ঐসময়ের এটা, শুধু টিনের ডিব্বা টা নতুন বলে,কিন্তু দাম কম এটা বারানোর কি আছে,,😐","product, price, shelf"
"এখানে দাম লেখা ছিল 350 টাকা কিন্তু তার ওপর স্টিকার লাগিয়ে তারা দেখিয়েছে দাম 380 টাকা।
তার ওপর আবার কি করেছে তারা ওয়েবসাইটের ছাড় দিয়ে দাম দেখাচ্ছে 360 টাকা।

এর সঠিক উত্তর দেওয়া না হলে ভোক্তা অধিকার আইনে আশ্রয় নেওয়া হবে","service, price"
"""আমি এটি টিন ক্যানের জন্য অর্ডার করেছিলাম, কিন্তু এটি কিছুটা ক্ষতিগ্রস্ত অবস্থায় পেয়েছি। ক্যানটি খুব পাতলা এবং নরম, মানও খারাপ। কিন্তু কফি ভালো ছিল।""","product, packaging"
"দাম অনুযায়ী বেশ ভালো একটা ডিল....কিন্তু টেস্ট টা একটু কম মনে হয়েছে আমার কাছে,,,,,অভার অল বেশ ভালো,,,,যেকোনো কেউ নিঃসন্দেহে নিতে পারেন,, রাইডার এবং সেলার দুই জনের ব্যবহার বেশ ভালো ছিলো!","product, delivery, seller, price"
"দেশি উৎপাদন, খাইতে কেমন হবে তাই ভেবে কিছুটা চিন্তিত ছিলাম, মোটামুটি ভালোই কিন্তু যারা এর আগে বাইরের কপি (জার) খেয়েছেন তারা এটা খাইতে পারবেন না, কেমন যেনো একটা...🥴",product
